epoch, dice, Jac, clDice 
001,0.335741,0.226618,0.345439 
002,0.133880,0.074232,0.121356 
003,0.271410,0.182176,0.307394 
004,0.310389,0.231218,0.340033 
005,0.346631,0.248560,0.359259 
006,0.411741,0.312613,0.431849 
007,0.333760,0.238855,0.355301 
008,0.341913,0.269374,0.359810 
009,0.304302,0.215595,nan 
010,0.399190,0.303267,0.427443 
011,0.379736,0.282587,nan 
012,0.364597,0.262145,0.396160 
013,0.385738,0.281123,0.411706 
014,0.347191,0.266564,nan 
015,0.374297,0.282104,nan 
016,0.399347,0.311572,nan 
017,0.338134,0.232879,0.312462 
018,0.329305,0.246644,0.326496 
019,0.383866,0.293490,nan 
020,0.414795,0.311851,0.456131 
021,0.310210,0.229772,nan 
022,0.379865,0.284957,nan 
023,0.270878,0.172603,0.216342 
024,0.396747,0.294559,0.453978 
025,0.402722,0.308563,0.441030 
026,0.408188,0.315469,0.434400 
027,0.361993,0.267654,0.374360 
028,0.393087,0.301891,0.426243 
029,0.367940,0.270128,0.396178 
030,0.418195,0.317566,0.472886 
031,0.302941,0.205550,nan 
032,0.422075,0.323278,0.466012 
033,0.287188,0.202346,nan 
034,0.371260,0.264267,0.347632 
035,0.414941,0.327161,0.443559 
036,0.262156,0.182802,0.260171 
037,0.408357,0.318252,0.427597 
038,0.370831,0.259421,0.342547 
039,0.451099,0.331452,0.498181 
040,0.374650,0.273581,0.410210 
041,0.417902,0.316021,0.462498 
042,0.402338,0.295955,0.428800 
043,0.448445,0.332827,0.517030 
044,0.432818,0.335328,0.473240 
045,0.383548,0.293304,0.402059 
046,0.407932,0.301141,0.469171 
047,0.393478,0.282263,0.437753 
048,0.334271,0.226024,0.344622 
049,0.388291,0.282228,0.414622 
050,0.427599,0.296658,0.459200 
051,0.453279,0.343537,0.500630 
052,0.426392,0.311416,0.468580 
053,0.428126,0.337121,0.453636 
054,0.426016,0.320311,0.419377 
055,0.431935,0.326113,0.473238 
056,0.407728,0.304738,0.450553 
057,0.401504,0.299306,0.454537 
058,0.385826,0.269698,0.421142 
059,0.439818,0.333690,0.472836 
060,0.397498,0.281407,0.423129 
061,0.358149,0.247739,0.360702 
062,0.446193,0.325999,0.490474 
063,0.415952,0.316564,0.432172 
064,0.387447,0.281829,0.422821 
065,0.411717,0.284989,0.452248 
066,0.391531,0.283052,0.442505 
067,0.450320,0.335397,0.487782 
068,0.478093,0.349391,0.493705 
069,0.449901,0.332687,0.488279 
070,0.340831,0.236213,0.338265 
071,0.401422,0.302339,0.433599 
072,0.403837,0.307555,0.427402 
073,0.389996,0.267569,0.393132 
074,0.327304,0.227087,0.344855 
075,0.342680,0.229398,0.381095 
076,0.395433,0.286517,0.435714 
077,0.401152,0.294296,0.417261 
078,0.526553,0.394516,0.584119 
079,0.369085,0.254897,0.403175 
080,0.418494,0.294572,0.455815 
081,0.498490,0.371505,0.515757 
082,0.374837,0.257691,0.398335 
083,0.394056,0.283050,0.422615 
084,0.420026,0.319279,0.425088 
085,0.394554,0.268872,0.392371 
086,0.354135,0.224713,0.371936 
087,0.363753,0.238495,0.341536 
088,0.448824,0.336561,0.489552 
089,0.484039,0.350580,0.552918 
090,0.410971,0.293125,0.451353 
091,0.386549,0.257213,0.398321 
092,0.441473,0.314899,0.498035 
093,0.434752,0.311465,0.466067 
094,0.478037,0.355453,0.526932 
095,0.371093,0.267519,0.372051 
096,0.354260,0.250781,0.385262 
097,0.393488,0.288836,0.427626 
098,0.430388,0.307332,0.454536 
099,0.417716,0.287295,0.444933 
100,0.476982,0.333523,0.524122 
077,0.526553 
